Sample_Name	Scaling	Latitude_DD	Longitude_DD	Elevation_m	Pressure_hPa	Pressure_or_Elevation	Sample_Thickness_cm	Bulk_Density_gcm3	Shielding_Factor	Erosion_Rate_mmkyr	Conc_10Be	10Be_Standardization	Conc_26Al	26Al_Standardization	Attenuation_Length_gcm2	Depth_to_Top_of_Sample_gcm2	Year_Collected_AD	Latitude_Uncertainty	Longitude_Uncertainty	Elevation_Uncertainty	Pressure_Uncertainty	Thickness_Uncertainty	Density_Uncertainty	Shielding_Uncertainty	Erosion_Rate_Uncertainty	Conc_10Be_Uncertainty	Conc_26Al_Uncertainty	Attenuation_Length_Uncertainty	Depth_to_Top_of_Sample_Uncertainty	Year_Collected_Uncertainty
MR-14-03Boulder	SA	37.46809	118.80101	3342		Elevation	1.5	2.706	0.99259	1	584697	07KNSTD	0	None	156.3154	0	2014	2.73E-05	3.33E-05	5.0		0.3	0.03	0.01	1	7971	0	15	0	0
MR-14-04Boulder	SA	37.48041	118.80935	3423		Elevation	1.0	2.706	0.99424	1	614767	07KNSTD	0	None	162.7024	0	2014	2.73E-05	3.33E-05	5.0		0.2	0.03	0.01	1	12319	0	15	0	0
MR-14-05Boulder	SA	37.47586	118.79774	3407		Elevation	4.5	2.706	0.99262	0	567537	07KNSTD	0	None	157.5045	0	2014	2.73E-05	3.33E-05	5.0		0.9	0.03	0.01	0	8699	0	15	0	0
MR-14-06Boulder	SA	37.44579	118.79807	2967		Elevation	5.0	2.649	0.96673	1	413529	07KNSTD	0	None	150.1766	0	2014	3.64E-05	4.45E-05	5.0		1.0	0.02	0.01	1	8859	0	15	0	0
MR-14-07Boulder	SA	37.44408	118.81073	2903		Elevation	1.0	2.649	0.98014	1	430236	07KNSTD	0	None	158.6452	0	2014	1.46E-04	1.78E-04	5.0		0.2	0.02	0.01	1	8388	0	15	0	0
MR-13-02Boulder	SA	37.42074	118.87306	2569		Elevation	2.0	2.649	0.95309	0	431202	07KNSTD	0	None	163.1447	0	2013	2.73E-05	3.33E-05	5.0		0.4	0.02	0.01	0	6643	0	15	0	0
MR-14-08Boulder	SA	37.42120	118.86990	2604		Elevation	4.0	2.649	0.95957	1	392570	07KNSTD	0	None	162.9300	0	2014	3.64E-05	4.45E-05	5.0		0.8	0.02	0.01	1	5413	0	15	0	0
MR-13-01Boulder	SA	37.41201	118.91431	2479		Elevation	0.5	2.649	0.97472	1	328494	07KNSTD	0	None	152.4047	0	2013	2.73E-05	3.33E-05	5.0		0.1	0.02	0.01	1	9213	0	15	0	0
LEM-14-14	SA	37.38440	118.97843	2312		Elevation	5.5	2.692	0.99789	1	304159	07KNSTD	0	None	158.5523	0	2014	2.70E-05	3.43E-05	5.0		1.1	0.02	0.01	1	7013	0	15	0	0
LEM-14-15	SA	37.38251	118.97890	2311		Elevation	3.0	2.649	0.99875	1	291876	07KNSTD	0	None	158.4481	0	2014	2.60E-05	3.33E-05	5.0		0.6	0.02	0.01	1	6666	0	15	0	0
